GEWICHT	RESPNR	VAR001	VAR002	VAR171	VAR172	VAR173	VAR174	VAR154A	VAR154	VAR155	VAR156	VAR157	VAR157A	VAR158	VAR159A	VAR159	VAR160	VAR161	VAR162	VAR162A	VAR163	VAR100	VAR101	VAR103	VAR105	VAR107	VAR109	VAR121	VAR122	VAR124	VAR137	VAR138	VAR139	VAR140	VAR515	VAR737	VAR728A	VAR728B	VAR728C	VAR728D	VAR728E	VAR728F	VAR729A	VAR729B	VAR729C	VAR729D	VAR729E	VAR729F	VAR546	VAR730	VAR725A	VAR725B	VAR725C	VAR725F	VAR725G	VAR725H	VAR725J	VAR725L	VAR725M	VAR725O	VAR725P	VAR725Q	VAR726	VAR727A	VAR727B	VAR727C	VAR727D	VAR727E	VAR727F	VAR727G	VAR003	VAR006	VAR007	VAR012	VAR013	VAR014	VAR015	VAR016	VAR200	VAR201	VAR462	VAR736	VAR009	VAR734	VAR733	VAR732	VAR629	VAR631
1	903	2	46	1	1	1	2	0	1	0	0	1	1	1	1	3	2	1	3	3	3	2	4	2	1	4	2	4	4	3	1	2	2	1	1	9	2	3	2	3	1	3	1	3	1	3	2	3	1	3	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	2	5	2	5	2	4	2	1	2	1	3	1	1	3	7	1	3	5	7	3	4	4	7	8	2
1	905	1	66	1	1	1	1	1	1	-3	2	-3	2	-3	2	-3	-3	2	3	2	-3	2	1	1	1	1	1	2	2	1	-5	-5	-5	-5	-3	8	3	3	3	3	3	3	3	3	3	3	3	3	1	3	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-6	-6	-6	-6	-6	-6	-6	-6	-6	-5	-2	-6	-5	-5	9	1	1	3	10	1	5	6	4	7	3
1	906	1	42	1	1	1	1	1	2	-3	2	-3	-3	1	2	3	3	1	-3	-3	3	1	1	2	2	1	1	1	5	2	2	1	2	1	3	14	2	3	2	3	2	3	1	3	1	3	2	3	3	3	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-6	-6	-6	-6	-6	-6	-6	1	1	-5	3	3	-5	-5	9	1	2	2	5	1	5	6	10	7	3
1	908	2	35	1	1	1	1	1	1	-6	1	1	1	-3	2	3	-3	1	3	1	-3	2	2	2	4	4	2	2	4	4	1	1	2	-3	2	10	3	3	2	3	2	3	1	2	1	3	2	3	1	3	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-6	-6	-6	-6	-6	-6	-6	1	2	1	1	1	1	3	7	1	1	-2	5	1	4	4	6	7	3
1	909	1	27	1	1	1	1	1	1	-3	1	-3	2	1	1	3	-3	-3	-3	2	-3	4	3	2	4	2	2	2	2	2	2	2	2	1	2	14	3	3	3	3	3	3	3	3	3	3	3	3	1	3	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	4	2	3	2	2	3	3	1	2	-6	3	3	-5	-5	8	1	1	-2	3	2	4	3	5	7	3
1	103	2	58	3	1	1	1	1	1	1	1	1	1	0	1	3	1	1	3	1	3	1	2	3	4	5	5	2	2	1	2	2	2	1	2	14	2	1	2	1	1	2	1	2	1	2	1	1	2	3	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	5	1	4	1	3	2	5	1	2	1	-2	1	1	-6	-5	1	1	5	9	2	4	2	4	7	6
1	105	2	72	-3	-3	-3	-3	-3	1	-3	-3	-3	-3	-3	3	3	-3	-3	-3	-3	-3	-3	-3	4	-3	-3	-3	-3	-3	-3	-5	-5	-5	-5	-3	17	3	3	3	3	3	3	-3	-3	-3	-3	-3	-3	1	3	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-3	-3	-3	-3	-3	-3	-3	4	1	-5	2	1	7	-5	-5	2	3	-2	11	1	4	1	2	8	2
1	106	1	37	2	1	1	1	0	2	-3	-3	2	2	-3	1	3	1	3	3	-3	-3	2	2	2	2	2	3	3	5	5	2	1	-3	1	3	8	3	3	2	3	3	3	3	3	1	2	2	3	2	3	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	2	4	1	4	2	5	1	1	1	-5	3	3	-5	-5	8	-3	3	-3	5	1	4	4	6	8	2
1	107	2	37	-3	2	1	1	-3	1	-3	-3	-3	-3	-3	2	3	2	2	2	1	1	2	2	2	2	2	3	3	3	4	-3	-3	2	-3	3	6	3	3	3	-3	-3	-3	1	2	1	2	1	1	2	-3	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	2	2	-3	-3	-3	-3	-3	1	1	1	1	1	7	-5	-5	-3	3	-3	5	1	5	4	6	8	2
1	108	1	64	1	1	1	1	2	2	2	2	2	2	-3	2	3	-3	3	3	3	-3	1	1	1	1	1	3	3	5	3	2	1	-3	2	3	9	3	3	1	2	1	3	3	3	1	2	2	3	-3	-3	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-3	-3	-3	-3	-3	-3	-3	4	1	-5	1	1	6	-5	-5	1	1	-2	10	1	4	1	2	8	2
