respnr	persnr	status	provcode	gemeente	HH2	HH4BP01	HH3P01	HH4AP01	HH4CP01	HH4BP02	HH3P02	HH4AP02	HH4CP02	HH4BP03	HH3P03	HH4AP03	HH4CP03	HH4BP04	HH3P04	HH4AP04	HH4CP04	HH4BP05	HH3P05	HH4AP05	HH4CP05	HH4BP06	HH3P06	HH4AP06	HH4CP06	HH4BP07	HH3P07	HH4AP07	HH4CP07	HH4BP08	HH3P08	HH4AP08	HH4CP08	HH4BP09	HH3P09	HH4AP09	HH4CP09	HH4BP10	HH3P10	HH4AP10	HH4CP10	HH4DP01	HH4DP02	complete	VAR001	VAR002	VAR003	INT001	VAR006	V040	VAR723	V202	V041	beroep	VAR016	VAR016A	VAR016B	VAR016C	V049	INT004	VAR1061	VAR1062	VAR648	V401	V400	VAR641	VAR642	VAR1255	VAR1256	VAR1257	VAR1300	VAR1301	VAR1302	VAR1303	VAR149	VAR058	VAR059	VAR064	VAR065	VAR092	INT265	INT266	VAR096	VAR125	INT054	VAR110	VAR114	VAR116	VAR571	VAR572	VAR573	VAR574	VAR576	VAR153	VAR154	VAR155	VAR156	VAR157	VAR157A	VAR154A	VAR160	VAR161	VAR162A	VAR164	VAR165	VAR166	VAR198A	VAR198	VAR201A	VAR201	VAR201C	VAR204	VAR221	INT257	INT229	VAR820	VAR1117	VAR589A	VAR589B	VAR589C	VAR589D	VAR589E	VAR589F	INT218	INT219	INT221	INT222	INT223	INT710	INT711	INT712	INT713	INT714	INT715	INT716	VAR491	VAR040	VAR1304	VAR274	VAR275	VAR461	VAR367	VAR273	VAR1262	VAR239	VAR318	VAR319	VAR320	VW065	VAR446	VAR447	VAR439	VAR497	VAR499	VAR599	VAR600	VAR408	VAR409	VAR1046A	VAR1046B	VAR1046C	VAR1046D	VAR1046E	VAR1046F	VAR1046G	VAR1046H	VAR1046I	VAR1046J	VAR1046K	VAR1046L	VAR1046M	VAR1046N	VAR1046O	VAR1046P	VAR402	VAR595	VAR687	VAR688	VAR689	VAR953	VAR1265	VAR433	VAR445	VAR351	VAR1145A	VAR1145B	VAR1145C	VAR1145D	VAR1145E	VAR1145F	VAR1145G	VAR1145H	VAR1145I	VAR1145J	VAR1145K	VAR1145L	VAR1145M	VAR1162A	VAR1162B	VAR1162C	VAR1162D	VAR1162E	VAR1162F	VAR1162G	VAR1162H	VAR1162I	VAR1162J	VAR1162K	VAR1162L	VAR1162M	VAR1146	VAR1163	VAR544	VAR347	VAR515	VAR516	VAR557	VAR844	VAR846	VAR847	VAR594	VAR1017	VAR1307	VAR1306	VAR1305	VAR357	VAR768	VAR1308	VAR754	VAR755	VAR760	VAR1309	VAR462A	VAR462B	VAR462C	VAR684	VAR683B	VAR728B	VAR729B	VAR546	VAR758	VAR759	VAR1031	VAR1140	VAR1141	VAR1142	VAR1143	VAR1161	VAR1103	VAR1104	VAR1105	VAR1106	VAR1315A	VAR1266	VAR1267	VAR1310	VAR1311	VAR1312	VAR1313	VAR1314	VAR1317A	VAR131_A	VAR131_B	VAR1317B	VAR131_C	VAR131_D	GOED1	GOED2	GOED3	GOED4	GOED5	FOUT1	FOUT2	FOUT3	FOUT4	FOUT5	Q1	Q2	Q3	Q4	Q5	Q6	Q7	Q8_1	Q8_2	Q8_3	Q8_4	Q8_5	Q9_1	Q9_2	Q9_3	Q10	Q11	Q12	Q13_1A	Q13_1B	Q13_2A	Q13_2B	Q13_3A	Q13_3B	Q13_4A	Q13_4B	Q13_5A	Q13_5B	Q14_1	Q14_2	Q14_3	Q14_4	Q14_5	Q14_6	Q14_7	Q14_8	Q15	Q16_1	Q16_2	Q16_3	Q16_4	Q16_5	Q16_6	Q17_1	Q17_2	Q17_3	Q18	Q19	Q20	Q21_1	Q21_2	Q21_3	Q21_4	Q21_5	Q21_6	Q21_7	Q21_8	Q21_8A	Q22_1	Q22_2	Q22_3	Q22_4	Q22_5	Q22_6	Q22_7	Q22_8	Q22_9	Q22_10	Q22_11	Q22_11A	Q23	Q24	Q25	Q25_1	Q26	Q27_1	Q27_2	Q27_3	Q27_4	Q27_5	Q27_6	Q27_7	Q27_8	Q27_9	Q27_10	Q28	Q29	Q30	Q31A_1	Q31A_2	Q31A_3	Q31B_4	Q31B_5	Q31B_6	Q31B_7	Q31B_8	Q32_1	Q32_2	Q32_3	Q32_4	Q33	Q34_1	Q34_2	Q34_3	Q35	Q36_1	Q36_2	Q37_1	Q37_2	Q38_1	Q38_2	Q39	Q40_1	Q40_2	Q40_3	Q40_4	Q40_5	Q40_6	Q41	Q42_1A	Q42_1B	Q42_2A	Q42_2B	Q42_3A	Q42_3B	Q42_4A	Q42_4B	Q42_5A	Q42_5B	Q42_6A	Q42_6B	Q42_7A	Q42_7B	Q42_8A	Q42_8B	Q42_9A	Q42_9B	Q42_10A	Q42_10B	Q43_1A	Q43_1B	Q43_2A	Q43_2B	Q43_3A	Q43_3B	Q43_4A	Q43_4B	Q43_5A	Q43_5B	Q43_6A	Q43_6B	Q43_7A	Q43_7B	Q44_1	Q44_2	Q44_3	Q45_1	Q45_2	Q45_3	Q46	Q47	Q48_1	Q48_2	Q48_3	Q48_4	Q48_5	Q49_1	Q49_2	Q49_3	Q49_4	Q49_5	Q49_6	Q50_1	Q50_2	Q50_3	Q50_4	Q50_5	Q51	Q_OPL	Q53	Q54	Q55	Q56	Q57	Q58	Q59	Q60_1	Q60_2	Q60_3	VAR462	weeg
10000918	1	2	27	363	1	1940	1	1	1																																					1	11	1	1	64	5	12	2	2		6	1	28209	8	"groothandel in aardappelen"	"chauffeur"	"met vrachtwagen rijden"	1	0	0	0	2	4	2			2			1	1	2	2	3	1	2	2	1	4	4	1	2	1	1	2	4	3	2		1	2	3	2	-3	3	-3	-3	3	3	-3	-3	-3	1	5	4	1	2	1	2		5	1	3	6	2		1	1	1	1	1	1	5	4	2	4	2	3	3	3	4	4	4	3	5	4	3	1	6	2	1	2	2	2	1	1	1	2	2	2	2	3	1	2	2	3	1	1	3	2	4	8	10	13	11	12	5	9	6	7	14	15	16	3	2	1	2	1	2	3	3	4	5	8	7	7	6	6	7	5	8	8	4	7	7	6	3	3	3	3	3	3	3	2	2	3	2	2	3	3	3	2	2	1	2	1	2	3	1	2	3	1	1	1	4	3		2	2	2	2	3	1000		7	3	3	3	1	1	1	2	1	1	1	3	4	1	1	2	2	1	1	2	2	3	-3	1	1	"respect voor anederen"	"leven zoals je bent opgevoed"	"normen en waarden handhaven"	"normen en waarden niet respeteren"	"ruzie maken"	"beleefd zijn en respect toenen"	4	8	3	-3	-3	10	2	3	4	-3	3	2	2	24	1			1	1	1	4	2	3	3	3	2		2	1		2	1	2	1	2	1	1		8	8	8	8	8	7	6	6	2	1	3	1	1	3	3	5	1	1	1	2	4	2	2	2	2	2	2	2	2		2	2	2	2	2	2	2	2	2	2	2		2				1	1	1	1	1	1	3	1	3	2	2	1	4	1	1	1	1	1	1	1	1	1	3	3	3	3	1	2	2	2	3	2	1	3	3	3	4	2	3	4	2	3	4	2	3	2	1	1		1		1		1		2	2	1		2	1	2	1	1		1		1		1		1		1		1		1		2	2	2	2	2	2	1	4	2	3	3	3	3	2	2	2	2	2	2	1	2	2	2	2	5	3	2		1	8	7	738	1	1	1	1	7	0.7025076000000001
10000920	1	2	26	344	2	1962	2	1	1	1963	3	2	1																																	1	11	1	1	42	6	20	8	1	40	1		91302	2	"organisatie adviesbureau"	"directeur"	"adviseren"	3	5	0	0	2	1	1	2	1	2	1	65	1	1	1	1	1	1	1	-3	-3	4	4	1	3	3	3	2	4	3	3	3	2		3	1	2	3	3	2	3	3	1	-3	1	2	3	3	2	1	2	1		4		4	2	1	3	2	2	2	2	2	2	3	2	4	3	3	3	3	3	4	4	4	4	3	2	2	1	1	2	3	2	2	2	2	1	-3	1	4	4	5	3	1	2	1	2	1	2	9	14	16	6	8	15	7	11	13	10	5	12	1	4	3	4	4	2		1	3	2	2	2	5	5	6	6	6	7	6	5	8	7	5	6	6	6	3	3	3	3	3	3	3	3	3	3	3	3	3	2	3	2	5	2	1	3	4	2	4	2	4	2	3	3	3	2	3	1	-3	2	1	2	4000		2	2	2	2	1	1	1	2	2	2	3	2	2	2	1	2	3	2	1	2	2	-3	-3	2	2	"Geen illegale activiteiten"	"geen eigenrichting"	""	""	"medeburgers lastigvallen"	""	9	2	-3	-3	-3	-3	2	-3	-3	-3	2	2	4	25	1			2	3	3	4	3	2	2	3	1	2	1	1		2	2	2	2	1		1		6	6	6	6	6	7	6	5	2	2	2	2	2	1	2	4	3	4	1	2	4	2	2	2	2	2	2	2	8		2	2	2	2	2	2	2	2	2	2	8		1	1	2		1	1	1	1	1	1	1	3	8	1	3	1	1	2	1	1	1	1	1	1	1	2	3	3	3	3	2				3	3	3	5	4	5	5	1	2	4	3	3	3	2	5	1		2	8	1		8		1		1		1		2	8	1		1		1		1		1		1		1		1		2	1	2	2	2	2	2	2	3	2	1	2	1	3	2	2	2	2	2	2	2	1	1	2	1	8	6	6	1	8	2	1	1	8	1	1	1	1	16	0.9196387199999999
10000922	1	2	27	363	2	1963	2	1	1	1967	4	2	1																																	1	11	1	1	41	3	11	3	1	40	1		71611	5	"software"	"sales en matketing"	"verkopen software"	1	0	0	12	2	2	1	2	1	2	2	55	1	1	1	1	1	1	1	1	2	4	4	1	2	2	1	2	4	4	2		2		5	2	-3	3	2	2	3	2	2	2	2	1	4	4	2	1	2	1		5		7	1	2		2	2	2	2	2	2	4	2	5	4	4	4	4	4	3	3	4	4	1	1	2	1	29	2	3	2	5	2	2	2	1	1	1	1	2	3	5	2	2	1	1	6	14	9	11	16	15	13	7	8	12	5	1	10	2	3	4	4	3	1	2	1	2	3	5	5	5	5	4	4	5	5	6	3	3	3	6	6	5	6	3	3	3	3	3	3	3	3	3	2	2	3	2	4	4	2	1	2	2	2	-3	5	1	5	2	1	2	1	-3	-3	-3	2	1	1	1	-2		5	2	3	3	3	1	-3	1	2	2	1	5	1	1	2	3	3	3	5	1	2	1	1	3	-3	-3	"dat je niet de enige bent die er woont"	""	""	"geen rekening houden met anderen"	"alleen voorjezelf leven"	""	2	-3	-3	-3	-3	2	5	-3	-3	-3	3	1	3	65	1			4	2	4	4	4	3	2	2	2		2	1		2	2	8		2	8	2	8	8	7	7	7	6	8	6	4	2	1	3	1	1	2	2	2	1	3	3	1	4	8	1	8	8	1	8	8	1	2	8	1	8	8	8	8	8	8	8	8	1	2	1	3	4	3	3	2	2	2	2	2	1	1	4	5	1	1	4	2	1	1	1	1	1	1	1	1	3	3	3	3	2				3	3	3	3	3	3	3	1	2	3	3	3	4	3	3	1		1		1		1		1		1		1		1		1		1		1		1		1		2	1	2	2	8		8		2	2	2	2	2	2	4	1	3	3	2	3	3	2	2	2	2	2	2	1	8	8	8	8	10	7	1	2	2	1	1	4800	1	1	1	1	18	1.1181240000000001
10000924	1	3	21	74	3	1951	2	1	1	1946	3	2	1	1988	6	1	1																													1	11	1	1	53	6	12	2	1	36	1		46106	6	"sociale werkvoorziening"	"ass werkleider"	"begeleiden van mensen"	1	50	0	0	3	3	2	2	1	2	1	60	1	1	1	1	3	1	1	2	2	3	4	2	3	1	1	2	4	4	3	1	1	1	5	2	3	3	3	2	3	2	3	2	2	1	4	4	1	8	2	1		5		3	1	1	4	4	4	4	4	1	4	5	3	5	3	4	4	5	5	5	5	5	3	1	1	3	1	29	1	1	1	5	2	2	1	2	1	5	5	2	1	5	2	1	1	1	11	4	8	7	15	16	2	14	6	10	5	1	12	9	3	13	2	3	3	3	2	2	1	2	2	5	3	2	3	4	4	6	5	3	2	1	2	4	2	3	3	3	3	3	3	3	3	3	3	3	3	3	4	4	1	1	1	3	4	4	4	2	4	4	3	1	3	3	1	2	2	1	2	2	3	4800		1	-3	-3	-3	2	1	1	3	2	4	-3	3	1	1	3	3	3	1	1	1	3	3	3	3	-3	"politiek bewust"	"moet respectvol omgaaan met zijn medemens"	"onthoud zich van cristelijke waarden en normen"	"heeft geen vooroordelen"	"gaat niet respectloos om met zijn medemen"	""	7	4	10	-3	-3	4	4	-3	-3	-3																																																																																																																																																																																														17	
10000928	1	2	27	363	1	1978	1	1	1																																					1	11	1	1	25	3	12	3	1	40	1		51301	6	"PAPIERHANDELSBEDRIJF"	"LOGISTIEK MEDEWERKER"	"ORDERS AANNEMEN"	1	0	0	0	1	1	1	1	2	2	1	60	1	1	4	4	2	1	1	2	1	4	1	3	1	1	1	3	5	4	3	1	3	1	2	1	2	2	2	2	2	2	1	1	1	1	4	5	1	3	2	1		5		3	5	2		1	1	2	1	1	1	5	5	2	5	3	3	5	5	5	5	5	5	4	1	2	1	-3	2	1	1	1	1	2	1	1	2	5	5	2	3	1	2	2	1	1	15	14	8	1	11	16	5	3	7	12	6	2	4	10	13	9	4	2	2		2	2	2	4	5	4	6	8	7	7	7	7	5	8	8	7	7	5	6	3	2	2	2	2	2	2	3	3	2	2	3	3	3	3	2	2	2	2	2	1	1	1	2	4	2	1	1	4	1	1	3	1	3	2	3	1300		7	3	3	3	1	1	1	2	2	1	2	3	1	3	4	4	4	1	1	1	4	2	-3	2	1	"WERKT GOED"	"RESPECTEERT ANDERE MENSEN"	""	"SLECHTE DINGEN RACISTISCH GEDRAG"	"STELEN"	"EGOISTISCH GEDRAG"	1	4	-3	-3	-3	4	9	5	-3	-3	3	2	4	16	2	6	2	1	3	3	2	3	2	3	3	2		2	2	2	1		1		1		1		9	7	10	10	8	7	8	6	2	1	1	1	1	1	4	1	1	5	1	2	4	1	1	1	2	1	1	2	1	98	1	1	1	2	2	1	1	2	1	1	2		2				3	1	5	1	1	1	1	5	5	1	5	2		1	1	1	2	1	1	1	1	1	3	3	3	3	2				1	3	3	3	3	3	3	1	5	5	1	1	5	1	5	2	2	1		1		1		1		1		1		2	1	1		1		1		2	1	2	1	2	1	2	1	2	1	1		2	2	2	2	2	2	3	3	1	3	3	3	3	1	1	2	2	2	2	1	1	2	1	1	8	3	2		1	2	1	1250	1	7	7	7	10	0.8553492
10000939	1	2	27	363	1	1976	1	2	1																																					1	11	1	2	28	3	22	8	2		7				""	""	""			3	0	2	1	1			2			1	1	1	1	1	1	2	2	2	4	4	2	2	1	2	2	3	4	3	2	1	2	4	1	-3	3	3	-3	2	2	2	2	1	1	4	4	2	1	2	1		4		6	1	2		1	1	1	1	1	2	3	4	3	3	2	2	3	3	2	2	2	2	2	1	2	1	25	1	3	2	4	2	2	2	2	2	5	5	4	3	5	1	2	2	1	8	10	7	1	9	16	13	15	11	12	14	3	2	5	4	6	3	4	1	3	2	2	2	2	4	5	7	5	7	6	7	7	7	6	4	6	7	4	5	2	3	2	2	2	2	2	3	3	3	2	3	2	3	2	2	3	1	2	1	1	1	1	1	5	1	1	1	5	2	2	2	2	2	2	3	800		7	3	3	3	1	1	1	2	1	3	4	1	3	1	1	1	2	1	2	2	2	2	3	3	3	"respecteert medeburgers"	"respecteert leefomgeving"	"denk niet op korte termijn"	"wnderen schade berokkenen"	"leefomgeving schaden"	""	4	4	12	-3	-3	2	2	-3	-3	-3	3	1	2	20	2	2	1	1	2	3	3	4	2	2	2	1	3	2	2	1	2	1	1		1		1		8	8	10	7	8	8	7	6	1	1	2	1	1	1	3	1	1	2	1	2	1	2	2	2	2	1	1	2	1	1	2	2	2	2	2	2	2	2	2	2	1	1	1	1	2		1	2	4	2	4	4	2	1	5	4	4	2		1	1	1	1	1	1	1	1	2	3	3	3	3	2				2	3	3	5	5	5	3	5	2	4	5	2	3	4	2	2	2	2	1	1		1		2	2	2	1	1		1		1		1		1		1		1		2	1	2	1	8		2	1	2	2	2	1	2	2	2	5	2	2	1	3	2	2	2	1	1	2	2	1	2	2	2	8	6	8	2		1	8	10	200	1	1	1	1	6	0.81344304
10000945	1	2	20	1663	2	1943	2	1	1	1946	3	2	1																																	1	11	1	1	61	6	15	6	2		8	1	98202	2	"onderwijs"	"directeur lbasisonderwijs"	"les geven"	2	7	30	8	3	2	1			2			1	1	1	2	1	1	1	2	2	4	4	1	3	3	3	2	4	4	3	3	2		5	1	2	2	2	3	2	2	2	2	2	2	3	4	1	4	1	4	2	1	3	2	6	2		1	1	1	1	1	1	2	3	2	2	2	2	2	2	3	3	3	4	1	1	2	1	6	4	2	3	3	2	2	2	-3	1	4	4	2	1	4	1	1	1	3	7	14	12	1	10	9	16	15	3	6	4	11	5	13	2	8	2	2	3	3	2	3	2	2	2	5	6	7	7	8	8	8	7	7	7	6	6	7	8	3	2	2	2	2	2	2	3	2	3	2	2	1	2	2	3	4	2	3	5	2	4	1	2	2	3	3	1	2	3		2	2	2	2	3	3500		2	3	3	3	1	1	1	2	2	1	2	3	2	1	3	1	2	3	1	2	3	2	2	2	2	"sociaal aandacht hebben voor je omgeving"	"aan de regels houden"	"respect hebben voor personen en materie van een ander"	"regels ontduiken"	"niet aan afspraken houden"	"op een onwettige manier je zin door te drijven"	5	8	4	9	-3	8	3	12	-3	-3	2	2	5	50	1			1	1	2	4	2	3	3	3	1	3	2	1		1		1		1		1		8	9	7	7	8	7	6	7	2	1	2	1	1	2	3	1	1	1	1	2	4	2	1	2	1	1	2	1	1	5	2	2	2	2	2	1	2	1	1	1	1	3	1	2	4	4	1	1	1	1	1	1	1	1	1	3	1	1	3	2	1	1	1	1	1	1	2	2	3	3	3	3	2				2	3	3	5	5	5	5	1	5	5	1	1	4	2	5	1		2	2	1		1		1		2	2	1		1		1		1		2	1	1		1		2	1	1		2	1	1		2	2	2	2	2	2	3	3	2	3	3	3	2	2	2	2	2	2	2	1	1	1	1	1	7	7	2		1	2	6	1600	1	1	1	1	15	1.11490848
10000950	1	2	30	1721	2	1920	2	1	1	1921	3	2	1																																	1	11	1	1	84	6	5	1	2		8	1	31502	7	"HANDELSONDERNEMING VOOR BOEREN"	"magazijn bediende"	"distributie veevoeder en klanten bedienen, voorraad bijhoude"	1	3	0	0	3	3	1			2			2	2			1	1	1	1	2	4	1	4	2	2	2	2	4	3	3	2	1	2	2	1	2	3	2	-3	2	2	2	2	-3	1	4	4	1	2	1	2		2	3	3	4	2		1	1	3	-3	-3	-3	3	3	3	2	2	2	3	3	3	3	-3	3	3	1	2	1	6	2	1	3	-3	1	2	2	1	1	4	4	2	3	1	2	2	3	1	1	11	6	9	8	15	10	14	2	5	7	16	3	12	4	13	3	2	1	1	2	3	2	3	5	5	7	7	7	7	7	6	6	5	-3	6	7	6	-3	3	2	2	2	2	3	3	3	2	3	2	1	-3	3	3	1	4	2	-3	4	-3	4	2	4	2	2	3	2	2	2	-3	2	2	2	-3	3	1780		2	3	3	3	2	1	1	1	2	1	1	3	2	2	3	3	4	2	1	2	3	4	2	1	1	"geen vandalisme plegen"	"zich aan normen en waarden houden"	"respect opbrengen voor anderen"	"zich niets van de regels aantrekken"	"zich minder sociaal gedragen"	"weet niet"	2	8	4	-3	-3	8	2	-3	-3	-3	1	1	5	32	4	1	4	1	1	2	5	1	3	3	3	1	2	1	1		1		1		1		1		8	9	8	7	7	7	8	8	2	2	3	1	1	1	2	1	1	1	1	2	4	2	2	1	2	2	2	2	1	98	2	2	2	2	2	2	2	2	2	2	2		2				1	3	1	1	1	1	1	1	1	1	1	1	1	3	1	2	2	2	2	2	2	2	3	3	3	3	1	2	2	2	4	2	2	5	5	5	4	1	5	4	2	2	4	2	5	2	2	2	2	1		1		2	2	2	2	2	2	1		1		2	2	1		2	1	1		2	1	1		2	1	1		2	2	2	2	2	2	4	2	1	1	3	1	2	2	2	2	2	2	2	1	1	1	1	8	8	2	1	4	2	2	4	1650	1	1	1	1	12	1.1334081599999999
10000951	1	2	28	606	3	1962	2	1	1	1970	3	2	1	1994	6	2	1																													1	11	1	1	42	6	14	5	1	40	1		51618	6	"pin automatenverkoop"	"binnendienstverkoop"	"telefonische verkoop"	1	2	0	0	3	2	1	2	1	2	2	99	1	1	1	1	2	1	1	2	2	2	1	4	1	2	2	2	4	3	3	2	1	3	2	1	3	2	2	2	2	2	1	3	3	1	5	2	2	1	2	1		5		6	2	1	1	1	1	1	4	1	4	3	2	4	1	1	1	3	2	3	2	2	2	2	1	2	1	25	2	1	2	2	2	2	2	1	1	3	3	5	3	1	2	2	2	1	3	11	10	9	1	15	13	14	2	4	8	12	7	5	6	16	2	1	1	2	1	3	3	4	5	4	6	6	8	6	6	7	5	6	6	5	6	5	7	2	3	2	3	2	3	3	2	2	3	2	1	2	3	2	2	3	1	2	2	2	1	1	3	3	1	1	1	3	3		2	2	2	1	-2		-2	1	3	3	3	2	1	1	2	2	2	3	2	2	2	3	2	3	2	1	1	3	2	3	1	3	"respekt hebben voor alles"	"alles en iedereen in zijn waarde laten"	"behulpzaam zijn"	"andermans bezittingen toeeigenen"	"andermans rechten aantasten"	"gezag ondermijnen"	4	4	5	-3	-3	9	3	8	-3	-3	2	1	2	39	2	1	4	2	1	1	4	2	3	3	3	2		2	2	2	1		2	1	1		2	1	9	8	9	8	9	9	8	6	2	1	4	1	1	2	3	1	1	1	2	1	4	2	2	2	2	2	2	2	2		2	2	2	2	2	2	2	2	2	2	2		2				2	1	2	1	2	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	3	3	3	3	2				2	3	3	4	5	4	5	1	4	5	2	2	5	2	5	1		1		1		1		1		1		1		2	1	1		1		1		1		1		1		2	2	1		1		2	2	2	2	2	2	3	3	1	2	3	3	3	2	1	1	2	2	2	1	2	2	2	1	7	5	2		1	2	1	1400	1	1	1	1	1	0.8979444
10000954	1	2	21	58	2	1952	2	2	2	1970	6	1	1																																	2	11	1	2	52	5	8	2	1	24	1		37208	7	"thuiszorg"	"huishoudelijke hulp"	"huishoudelijk werk"	1	0	3	0	3	1	1	2	1	2	2	65	1	2	3		2	1	1	2	1	4	3	2	3	-3	2	2	5	4	3	3	1	2	4	2	2	3	3	3	3	2	1	1	1	1	4	4	2	1	2	1		5		4	3	2		1	1	2	3	2	4	4	3	4	3	2	3	3	3	4	4	4	2	3	2	2	1	25	4	2	2	3	2	2	2	2	2	2	2	2	3	5	2	2	3	1	13	11	6	12	2	15	5	14	3	9	10	4	7	8	1	16	2	2	1	2	1	3	3	2	2	5	4	6	6	6	6	7	6	6	6	5	6	7	7	3	2	2	2	2	2	3	3	2	3	3	2	2	3	3	2	2	2	3	2	2	2	1	3	3	-3	1	1	3	3		2	2	3	2	2	950		7	2	-3	2	1	1	1	1	2	2	2	3	3	2	2	2	3	2	1	2	3	3	3	2	2	"zich aan de wet houden"	"denkt aan hetn mmilieu"	"stelt zich sociaal op tegen over andere mensen"	"alles doet wat niet mag"	"geen sex met kinderen , niet kinderen misbruiken"	"zinloos geweld vind ik ook iets vreselijks"	8	6	5	-3	-3	8	9	9	-3	-3	2	2	5	30	1			2	2	3	5	3	3	3	3	2		2	1		1		1		1		1		7	8	9	8	7	7	6	6	2	1	3	1	1	1	3	1	1	1	3	2	4	8	1	8	8	1	8	8	8		8	1	8	8	8	8	8	8	8	8	8		1	1	3		3	1	1	1	2	1	1	1	1	2	2	1	5	3	1	1	2	2	2	2	2	2	3	3	3	3	2				3	3	3	4	4	3	3	1	4	4	2	2	3	3	3	1		2	2	1		1		1		2	2	1		1		1		2	2	1		1		1		1		1		2	1	1		2	2	2	2	2	2	3	3	1	2	3	3	2	2	2	2	2	2	2	1	1	2	1	8	5	2	1	4	1	2	11	840	1	1	8	8	7	0.78997392
10000959	1	2	21	55	4	1952	2	1	1	1957	3	2	1	1984	5	1	1	1986	5	1	1																									4	11	1	1	18	3	12	5	2		7				""	""	""			0	0	2	2	1			2			1	1	1	1	2	2	1	2	1	1	4	2	2	2	2	2	5	3	3	3	2		4	1	2	3	3	2	3	3	2	1	1	1	5	4	1	3	1	3	3	3	3	4	2	2		1	1	3	4	3	3	4	3	3	3	2	2	3	2	3	3	3	2	3	2	2	1	6	3	1	3	2	1	1	1	1	2	3	3	2	3	1	2	1	3	1	3	2	12	1	9	16	7	15	5	13	11	4	8	6	10	14	4	3	1	2	1	3	2	4	5	1	7	6	5	6	7	6	6	5	7	6	5	6	6	3	3	3	1	3	3	3	1	3	3	1	1	3	3	3	1	2	1	3	3	1	2	1	4	1	1	1	1	3	2	3	1	1	2	2	-2		-3	1	2	3	3	1	1	1	1	1	1	2	2	2	2	3	4	3	1	1	1	2	3	2	1	2	"met respect met anderen omgaan"	"iemand in zijn eigen waarde laten"	"op een eerlijke manier werken"	"stelen"	"disrespecteren van een ander"	""	4	4	1	-3	-3	9	4	-3	-3	-3	1	1	6	28	1			1	2	1	5	3	2	2	3	2		2	1		1		2	2	1		1		8	8	8	7	7	9	6	6	2	1	3	1	1	1	2	1	1	2	3	1	4	1	2	2	2	1	2	1	1	2	1	2	2	2	1	1	2	1	2	1	1	2	1	1	3		1	1	5	1	2	1	2	1	4	2	5	1	2	2	1	1	1	1	1	1	1	2	2	2	2	3	2				2	3	3	4	4	5	5	1	1	4	5	2	1	4	1	1		1		1		1		1		1		1		1		1		1		1		1		1		1		1		1		1		2	2	2	2	2	2	3	3	1	2	1	3	2	2	2	2	2	2	1	1	2	2	1	1	7	4	1	8	3	2	1	8	1	1	1	1	1	2.05716024
10000961	1	2	27	363	1	1970	1	1	1																																					1	11	1	1	34	3	17	6	1	38	1		57308	1	"horeca"	"manager hotel"	"manager hotel"	1	50	0	0	1	1	1	2	1	2	2	60	1	1	1	1	1	1	1	1	2	1	1	4	3	2	3	4	4	3	3	2	3	2	2	1	3	2	2	2	2	2	1	1	1	2	3	3	1	5	1	5		4	1	3	6	2		2	2	2	2	2	2	4	2	2	4	2	4	4	4	3	3	2	3	2	2	3	1	1	2	3	2	5	2	1	2	-3	1	4	2	1	3	1	2	2	3	1	11	14	9	7	2	16	13	10	5	3	4	1	12	15	6	8	5	5	1	2	1	3	3	5	5	4	5	6	6	6	6	4	6	5	7	5	8	5	4	3	2	2	3	3	3	3	3	1	3	2	2	3	1	3	2	2	2	2	2	1	3	1	5	1	1	1	1	2	2	3	2	2	2	2	3	4500		7	3	3	3	1	1	1	2	1	1	4	1	1	2	3	2	2	1	1	2	2	1	4	3	3	"sociale verplichtingen nakomen"	"respect voor elkaa"	"niet frauderen"	"bevooroordeeld zijn"	"meer verdiepen in medemens"	"niet vredig leven"	5	4	10	-3	-3	4	4	5	-3	-3	3	1	3	90	2	4	1	3	2	3	3	3	3	3	3	2		2	1		1		1		1		1		8	8	8	8	8	8	6	5	2	1	2	1	1	1	3	1	1	2	3	1	4	2	2	1	2	2	2	2	2		2	2	1	2	2	2	2	2	2	2	2		1	3	1		1	1	2	1	1	1	1	2	5	3	4	2		1	1	1	1	1	1	1	1	1	3	3	3	3	2				2	3	3	4	4	3	3	2	2	2	3	4	2	4	2	1		1		1		1		1		1		1		2	2	1		1		1		1		1		1		1		1		1		2	2	2	2	2	2	4	2	1	1	1	3	1	2	2	2	2	2	2	1	1	1	1	1	8	7	2		1	2	1	2500	3	5	8	8	16	0.8553492
