RESPNR	HHNR	HHPNR	INSTRU	INT000	INT001	INT004	INT044	INT071	INT087	INT229	INT239	INT264	INT265	INT265A	INT266	INT266A	INT267	INT268	INT270	INT271	INT272	INT276	INT278	INT279	INT281	INT282	INT283	INT284	INT285	INT286	INT287	INT289	INT291	INT292	INT293	INT295	INT296	INT300	INT301	INT303	INT305	INT307	INT309	INT311	INT313	INT314	INT315	INT318	INT319	INT320	INT321	INT322	INT323	INT600	INT601	INT602	INT603	INT604	INT605	INT606	INT607	INT608	INT609	INT610	INT611	INT612	INT613	INT614	INT615	INT616	INT617	INT618	INT619	INT620	INT621	INT622	INT623	INT624	INT625	V040	V041	V049	V065	V200	V201	V202	VAR0000	VAR001	VAR002	VAR003	VAR006	VAR016	VAR040	VAR043	VAR064	VAR065	VAR096	VAR100	VAR101	VAR103	VAR107	VAR109	VAR121	VAR122	VAR124	VAR125	VAR131	VAR132	VAR133	VAR134	VAR135	VAR149	VAR151	VAR153	VAR154	VAR154A	VAR155	VAR156	VAR157	VAR157A	VAR164	VAR165	VAR166	VAR167	VAR179	VAR180	VAR181	VAR183	VAR184	VAR185	VAR198	VAR201	VAR204	VAR221	VAR229	VAR271	VAR272	VAR273	VAR274	VAR275	VAR318	VAR319	VAR320	VAR346	VAR351	VAR406	VAR407	VAR408	VAR409	VAR410	VAR411	VAR412	VAR413	VAR414	VAR430	VAR431	VAR433	VAR434	VAR437	VAR439	VAR445	VAR454	VAR461	VAR462	VAR491	VAR493	VAR497	VAR499	VAR515	VAR516	VAR546	VAR548	VAR550	VAR567	VAR568	VAR569	VAR570	VAR571	VAR572	VAR573	VAR574	VAR589A	VAR589B	VAR589C	VAR589D	VAR589E	VAR589F	VAR591	VAR592	VAR594	VAR599	VAR600	VAR608	VAR626	VAR627	VAR628	VAR629	VAR630	VAR631	VAR632A	VAR632B	VAR632C	VAR632E	VAR632F	VAR632G	VAR634	VAR635	VAR636	VAR683B	VAR684	VAR687	VAR688	VAR723	VAR728B	VAR729B	VAR768	VAR848	VAR849	VAR900A	VAR900B	VAR900C	VAR900D	VAR900E	VAR900F	VAR900G	VAR900H	VAR900J	VAR900K	VAR900L	VAR900M	VAR900N	VAR900O	VAR901	VAR902	VAR903	VAR904	VAR905	VAR906	VAR907	VAR908	VAR909	VAR910	VAR911	VAR912	VAR913	VAR914	VAR915	VAR916	VAR917	VAR918	VAR919	VAR920	VAR921	VAR922	VAR923	VAR924	VAR925	VAR926	VAR927	VAR928	VAR929	VAR951	VAR952	VAR953	VAR1031	VAR1033	VAR1046A	VAR1046B	VAR1046C	VAR1046D	VAR1046E	VAR1046F	VAR1046G	VAR1046H	VAR1046I	VAR1046J	VAR1046K	VAR1046L	VAR1046M	VAR1046N	VAR1046O	VAR1046P	VAR1050	VAR1052	VAR1061	VAR1062	VAR1076	VAR1077	VAR1103	VAR1104	VAR1105X	VAR1106	VAR1140	VAR1141	VAR1142	VAR1143	VAR1145A	VAR1145B	VAR1145C	VAR1145D	VAR1145E	VAR1145F	VAR1145G	VAR1145H	VAR1145I	VAR1145J	VAR1145K	VAR1145L	VAR1145M	VAR1146	VAR1161	VAR1162A	VAR1162B	VAR1162C	VAR1162D	VAR1162E	VAR1162F	VAR1162G	VAR1162H	VAR1162I	VAR1162J	VAR1162K	VAR1162L	VAR1162M	VAR1163	VAR1227	VAR1228	VAR1229	VAR1230	VAR3000	ISCO
525	525	1	1	1	10	0	2	5	4	3	5	2	3	4	4	1	2	4	5	3	4	3	5	5	3	2	3	3	4	4	3	-3	2	4	4	4	1	3	3	2	3	2	3	3	1	1	3	3	2	2	2	2	3	4	3	5	5	4	2	1	2	2	2	4	5	2	3	3	3	3	3	2	3	2	3	4	3	5	3	1	-5	1	2	4	1	1		1	37	1	5	5	2	4	-3	2	-3	2	2	3	1	3	1	3	1	-3	2	2	1	1	2	2	3	-3	3	2	3	2	-3	2	1	4	3	4	1	2	1	1	1	1	3	1	5	-5	2	-3	2	2	3	-5	2	1	1	5	3	2	2	2	1	1	1	3	1	1	5	3	3	3	5	3	5	3	3	13	4	2	3	1	2	2	2	2	-5	2	-5	1	2	2	-5	1	2	1	1	2	1	1	2	-3	2	5	2	2	3	3	8	15	3	4	9	119	18	9	9	3	99	1	1	1	1	1	1	2	40	2	3	2	5	1	0.44	4	10	1	2	2	2	2	3403007	4	3	2020	1936	3	2	1	1	6		1	37	2	35											2	0									1	3	2	2	3	4	15	10	1	7	16	13	14	3	5	12	9	6	11	2	8	5	2	0	2	1	2	1	3	4	2	2	1	4	1	6	8	7	7	8	8	6	7	7	8	5	5	4	2	1	3	2	2	2	2	3	3	2	3	2	3	3	3	2	3	2	2	3	72102	2149
526	526	1	1	1	15	1	1	4	1	3	4	4	4	4	1	2	2	4	4	4	3	4	3	2	4	3	1	1	1	4	2	3	2	2	2	4	1	2	2	1	1	2	1	2	2	2	1	3	1	1	1	2	3	4	2	4	4	1	2	3	1	2	2	2	4	2	4	3	3	3	3	3	2	3	2	2	2	4	3	2	1	2	1	2	1	6		2	51	3	4	5	2	2	1	2	2	2	1	1	1	1	4	2	4	1	1	1	2	1	2	2	4	2	3	2	3	2	2	2	1	5	5	2	1	1	1	1	1	1	1	1	5	-5	3	3	2	2	1	2	2	2	2	4	4	2	2	2	1	1	1	3	1	3	1	3	1	5	4	4	1	3	1	6	2	2	3	1	2	3	3	2	-5	1	1	1	2	1	3	1	1	1	1	3	2	1	3	2	1	4	2	1	2	3	8	15	3	4	9	119	18	9	9	3	99	1	1	3	3	7	2	-5	-5	3	3	2	4	2	0.5	3	10	1	2	2	2	2	3403007	3	2	1549	1459	1	1	1	1	6				2	51																					2	3	2	1	3	7	9	13	1	12	15	6	16	5	10	8	4	11	3	2	14	4	1	2	0	3	2	1	4	4	3	2	1	3	3	4	7	6	-3	5	7	6	7	7	6	7	6	5	2	3	3	2	2	-3	3	2	3	2	2	2	2	3	3	2	2	4	3	3	62301	2331
527	527	1	1	1	7	0	2	2	1	6	4	2	1	1	3	3	4	2	4	4	4	3	4	2	2	1	2	3	2	2	-3	2	4	2	2	1	2	4	4	2	2	3	2	2	1	2	1	5	2	2	2	2	3	-3	2	4	2	3	2	2	-3	3	2	4	2	2	4	2	3	4	4	3	4	2	2	3	2	4	4	2	1	1	2	1	4	8		2	76	4	1	9	2	1	-3	1	3	4	3	2	3	2	4	3	5	3	2	2	2	2	2	2	4	1	2	2	-3	-3	-3	-3	2	3	3	3	2	2	2	2	2	2	3	3	1	2	3	4	3	1	1	1	1	1	1	1	-3	2	2	3	3	1	3	3	3	1	3	2	5	4	1	1	5	1	4	10	2	2	3	1	2	2	2	2	-5	1	2	1	2	2	-5	2	-5	1	1	3	4	2	2	2	2	4	2	2	1	3	8	15	3	4	9	119	18	9	9	3	99	3	2	3	2	6	1	1	-5	3	3	3	2	5	1.01	30	9	1	3	2	3	1	3403007	3	2	1601	1500	4	1	1	1	6				2	76	1	40																			3	2	3	1	5	2	13	4	9	12	14	8	16	7	1	6	3	11	15	5	10	4	4	1	0	2	3	1	4	4	4	2	1	1	2	6	6	7	7	7	6	7	7	6	6	5	6	8	2	5	3	1	2	2	2	3	2	2	1	2	3	1	1	2	-3	4	4	1	11133	9132
528	528	1	1	1	18	0	1	5	4	6	5	-6	4	4	2	2	1	4	5	5	1	5	4	5	3	2	2	1	1	5	2	1	1	2	4	4	1	1	1	2	2	1	2	1	2	2	1	1	1	1	1	2	3	2	4	5	5	2	3	2	3	3	1	2	1	2	3	1	1	2	3	1	2	3	1	2	2	5	5	1	-5	1	1	3	2	1		2	36	1	7	5	3	2	1	2	1	4	1	1	1	1	1	1	1	1	1	2	1	2	2	1	3	1	3	2	3	2	-3	2	2	3	3	1	1	1	1	2	1	1	1	1	5	-5	3	3	2	1	1	5	2	2	2	2	5	3	1	2	1	1	1	3	3	1	5	2	1	5	5	5	5	5	2	14	2	2	3	1	1	1	2	2	-5	1	2	1	2	1	2	1	2	1	1	2	2	1	2	1	2	4	2	2	1	3	8	15	3	4	9	119	18	9	9	3	99	1	3	3	3	2	1	1	28	3	3	1	1	5	0.5	29	9	1	1	2	2	1	3403007	4	3	2039	1949	1	1	1	1	6		1	37	2	36																					1	3	3	2	4	6	14	11	2	7	16	13	4	10	15	1	9	5	3	12	8	2	2	0	0	1	2	1	2	3	2	2	2	2	1	4	4	5	6	5	7	8	8	3	7	6	6	4	2	1	3	3	2	2	3	3	2	2	3	2	2	3	3	3	1	1	4	4	56306	3460
529	529	1	1	1	19	8	2	4	2	2	2	-6	2	4	-3	2	2	4	4	5	-6	4	4	4	1	2	2	2	2	4	3	1	2	2	2	4	1	1	1	2	1	2	2	1	2	2	1	3	1	1	1	2	3	1	3	4	4	3	3	2	1	2	1	4	3	2	4	2	3	2	2	2	1	3	3	2	2	4	4	1	-5	1	1	4	1	1		1	45	1	7	5	1	1	1	2	1	2	1	1	1	1	1	1	1	1	2	2	1	1	2	1	2	1	3	2	3	2	-3	3	1	4	3	3	1	1	1	1	1	1	4	1	5	-5	3	2	2	2	1	5	1	1	1	4	4	2	2	3	1	3	1	3	1	3	4	4	2	4	5	5	2	5	1	16	2	2	3	1	1	1	2	2	-5	1	2	2	-5	1	2	1	2	1	1	2	2	1	2	2	1	2	2	1	4	3	8	15	3	4	9	119	18	9	9	3	99	1	1	3	3	3	2	-5	36	3	3	1	1	1	0.37	29	9	1	3	2	2	2	3403007	4	3	1922	1845	1	2	1	1	6		1	45	2	39											2	7	1	3							2	2	3	2	3	10	12	14	3	15	16	6	11	8	7	1	4	13	5	2	9	3	2	0	0	2	1	1	3	3	2	2	1	3	2	3	4	7	5	6	6	5	7	6	7	4	4	4	3	2	3	3	2	3	3	2	3	2	3	2	3	3	3	3	2	2	4	3	51601	1317
530	530	1	1	1	7	0	1	1	4	3	4	3	4	4	3	1	1	4	2	1	-6	1	4	4	4	2	3	-3	3	4	4	1	2	2	1	3	3	-3	3	1	-3	3	4	3	1	1	1	4	2	2	2	2	3	2	4	2	3	-3	1	2	1	1	2	2	3	3	4	3	4	4	4	3	1	1	3	4	3	5	5	2	1	1	2	1	4	6		2	43	1	2	8	1	4	2	1	1	1	1	1	1	4	1	2	1	3	1	1	1	1	1	1	2	1	3	2	2	2	3	3	1	4	3	3	1	1	1	1	2	2	1	1	5	-5	3	2	2	1	1	2	1	1	2	5	5	3	1	1	1	3	1	3	1	3	5	3	1	3	-3	2	2	5	1	12	2	1	1	1	3	-5	1	2	-5	3	1	1	2	3	1	1	1	2	2	2	2	1	4	1	2	1	2	2	1	3	8	15	3	4	9	119	18	9	9	3	99	1	1	3	1	2	2	-5	-5	1	1	1	2	1	0.44	13	11	1	3	2	5	1	3403008	3	3	1702	1618	4	1	1	1	6		1	46	2	43																					2	3	3	3	2	6	8	9	1	14	16	11	12	13	3	7	5	10	15	2	4	3	2	0	2	1	1	1	3	2	2	1	1	3	2	2	4	8	2	2	5	8	8	4	5	5	3	3	2	1	3	3	2	3	3	3	2	2	1	3	3	3	3	2	2	-3	4	4	27204	8263
531	531	1	1	1	11	-5	1	4	1	5	5	4	1	4	2	1	1	1	4	4	1	4	1	4	1	1	2	5	1	4	4	1	4	4	4	4	4	2	2	1	3	2	2	4	2	2	1	5	2	2	2	2	3	1	4	5	5	5	3	2	1	2	2	1	1	2	4	1	2	3	3	2	4	1	2	5	1	1	5	1	-5	-5	2	1	4	7		1	17	5	4	-5	2	2	1	2	3	1	1	1	1	1	4	1	1	2	2	2	1	1	1	1	2	1	-3	2	2	3	3	3	2	3	3	-3	2	2	2	2	2	2	4	1	5	-5	2	1	1	2	3	-5	2	2	2	1	4	3	1	3	3	1	3	1	3	3	1	4	1	1	1	1	1	1	5	9	3	2	3	1	1	2	1	2	-5	1	3	1	1	3	3	3	3	2	2	3	2	2	2	1	2	4	2	2	5	3	8	15	3	4	9	119	18	9	9	3	99	3	3	3	2	6	1	2	8	3	3	3	1	5	1.09	17	11	1	4	2	5	1	3403008	2	2	1515	1406	4	2	1	1	6				2	50	1	17																			2	1	3	2	4	2	11	15	4	8	14	5	12	7	1	16	3	9	6	10	13	1	4	0	0	3	3	1	1	3	1	3	1	1	3	8	9	9	8	9	3	7	9	9	8	8	8	9	2	2	2	1	2	2	2	3	2	1	2	2	2	1	2	2	4	1	3	3	-5	-5
532	532	1	1	1	11	23	4	2	5	2	4	3	4	1	1	4	3	4	3	3	5	3	3	2	3	3	2	2	2	4	2	1	2	4	2	1	1	3	2	5	3	3	4	3	2	2	2	3	2	2	1	2	3	2	2	3	4	4	2	3	3	3	1	4	4	-3	3	3	3	3	3	3	4	2	4	3	2	2	3	2	1	2	1	2	2	8		1	68	1	4	6	1	3	1	2	3	2	2	2	2	2	2	3	2	2	2	2	2	2	2	1	2	1	2	2	2	3	3	2	2	4	3	3	1	1	1	2	1	1	1	1	5	-5	3	3	3	3	1	3	1	1	1	1	1	3	1	3	1	1	1	3	3	1	3	4	5	2	1	3	5	2	4	15	2	2	3	8	2	1	4	2	-5	1	2	1	3	1	3	2	-5	1	1	1	1	1	1	3	2	2	2	2	3	3	8	15	3	4	9	119	18	9	9	3	99	3	3	1	2	2	1	1	-5	1	2	2	4	5	1.24	13	11	1	4	2	5	1	3403008	3	2	1600	1436	4	2	1	1	6		1	68	2	67																					2	2	3	1	5	2	10	9	4	8	15	6	14	3	1	12	13	11	5	7	16	2	2	0	0	2	2	4	4	4	4	3	1	1	4	3	6	6	6	6	5	6	7	7	5	6	8	7	2	5	3	2	2	2	2	3	2	2	2	3	3	1	2	3	3	3	4	2	71509	1231
533	533	1	1	1	16	0	1	2	5	6	4	2	1	2	2	3	3	5	4	2	4	4	2	2	3	3	4	-3	4	2	2	1	4	3	2	3	2	4	1	4	4	3	2	4	2	2	1	3	2	2	2	2	4	3	2	2	2	-3	1	3	1	3	2	2	5	3	3	4	4	4	4	2	1	2	2	-3	2	4	4	2	1	2	2	3	1	8		1	72	1	5	5	1	1	2	2	1	4	2	-3	4	4	4	4	2	1	2	1	1	1	2	1	2	1	3	2	2	1	-3	2	1	5	5	3	2	2	1	2	1	1	3	3	2	3	3	3	4	1	2	-3	2	1	1	2	4	3	1	2	1	3	3	3	1	1	3	3	2	3	4	3	1	3	4	13	2	1	1	4	2	3	3	2	-5	3	1	1	1	1	2	1	1	1	1	3	3	1	3	3	1	4	2	1	2	3	7	11	3	4	4	697	17	7	7	5	99	1	2	2	2	2	1	1	-5	3	2	2	2	4	0.55	3	10	1	3	2	5	2	3407002	3	2	1652	1557	4	2	1	2	6		1	72	2	65																					1	3	3	1	4	1	3	8	11	6	9	5	13	4	2	12	10	16	15	7	14	2	2	20	10	2	1	2	4	4	3	3	1	1	3	4	7	7	7	7	7	6	7	7	6	7	7	-3	2	4	3	1	1	2	2	3	2	2	1	2	2	1	2	3	3	2	3	2	51603	2419
534	534	1	1	1	12	0	2	4	4	1	2	3	1	3	3	1	3	4	3	2	4	-3	3	3	4	3	2	3	3	4	2	2	2	3	2	1	1	3	3	3	3	3	4	3	2	2	1	2	2	2	1	2	4	2	3	4	2	3	1	3	2	3	2	4	3	3	3	2	3	3	3	2	4	3	2	4	2	2	3	1	-5	1	2	2	2	1		2	33	1	3	6	3	1	1	2	2	4	2	4	1	4	4	5	5	2	1	2	1	1	1	1	2	1	2	2	2	2	3	2	2	3	3	3	1	2	1	2	1	1	1	1	5	-5	3	-3	3	1	1	2	2	2	2	2	2	2	1	2	2	3	1	3	3	1	5	5	5	2	5	4	5	4	3	11	4	2	3	1	2	2	3	2	-5	2	-5	1	1	1	2	1	3	1	1	1	1	1	1	3	2	4	2	2	2	3	7	11	3	4	4	697	17	7	7	5	99	3	3	1	2	1	1	1	15	1	2	2	4	2	0.4	3	10	1	2	2	2	2	3407002	3	3	1049	1009	4	1	1	1	6		1	36	2	33											1	7									3	2	3	1	5	2	4	9	13	5	15	10	12	14	3	1	7	6	11	8	16	2	2	0	5	3	3	3	4	4	4	3	2	2	1	5	7	5	5	6	5	5	5	7	5	5	8	5	2	4	3	1	3	3	3	3	2	3	1	3	3	1	2	3	3	3	4	4	37209	5132
535	535	1	1	1	7	0	2	1	5	6	2	-3	1	1	4	4	2	4	4	2	3	4	-3	2	4	1	2	-3	4	2	2	-3	4	2	4	-3	-3	3	3	5	5	3	2	4	1	2	1	5	2	2	2	2	4	5	2	2	2	-3	3	2	3	1	1	4	4	-3	-3	4	3	4	3	-3	2	2	2	5	4	2	2	2	1	6	2	5	4	5		2	73	1	1	9	2	1	1	2	2	4	1	3	2	2	2	-3	5	-3	2	2	1	2	2	1	2	1	2	-3	-3	-3	-3	-3	1	5	3	3	1	2	2	2	2	1	4	4	1	2	3	-3	3	2	1	1	2	1	1	2	5	3	1	3	3	1	2	3	3	3	2	4	4	-3	4	3	2	5	4	9	3	2	1	1	3	-5	1	2	-5	1	3	1	3	2	-5	2	-5	1	1	1	1	1	-3	2	2	4	2	2	2	3	7	11	3	4	4	697	17	7	7	5	99	3	3	-3	2	2	1	1	-5	3	3	3	4	4	0.46	27	9	1	3	2	3	2	3407002	2	2	1941	1855	4	1	1	1	6		1	73	2	73																					-3	1	3	1	2	1	10	7	5	3	14	15	9	11	2	16	6	4	12	8	13	2	2	3	0	2	2	3	4	4	2	2	1	2	3	7	-3	-3	-3	-3	5	7	7	7	7	-3	-3	-3	2	4	3	2	-3	-3	-3	3	2	2	2	2	-3	2	-3	3	3	3	3	2	11133	9132
536	536	1	1	1	7	0	2	5	2	2	4	4	1	1	4	2	2	4	-3	2	2	2	4	2	-3	2	2	-3	2	5	2	-3	2	2	2	1	2	3	2	5	4	3	3	2	1	1	2	4	2	1	2	2	4	-3	4	2	3	4	1	3	2	2	2	5	4	4	4	3	4	3	3	3	2	2	2	4	2	2	4	1	-5	1	2	1	3	1		1	44	3	2	8	2	1	-3	-3	2	2	1	1	1	4	3	5	4	3	1	1	1	1	2	1	1	1	2	2	3	2	-3	3	1	5	4	2	1	1	1	1	1	1	4	1	5	-5	3	-3	3	1	1	3	1	1	1	4	4	3	1	2	1	3	1	3	2	2	3	2	2	2	4	5	4	5	3	14	2	2	3	5	1	1	1	2	-5	1	2	1	2	2	-5	2	-5	1	-3	-3	4	2	-3	2	2	5	2	1	1	3	7	11	3	4	4	697	17	7	7	5	99	1	1	3	2	3	1	1	40	3	3	1	4	2	0.17	15	11	1	2	2	2	2	3407002	3	3	2102	2045	3	2	1	1	6		1	44	2	39											2	11	2	7							2	3	3	1	2	7	10	3	9	6	16	4	14	2	1	8	11	12	13	5	15	2	2	0	0	2	2	2	4	4	3	2	2	2	3	6	8	6	7	7	6	9	8	6	7	8	7	7	2	3	2	1	2	3	3	3	2	2	1	2	3	1	1	2	2	3	-3	3	26209	7133
537	537	1	1	1	9	25	1	5	5	6	4	-3	1	3	3	2	2	4	-3	3	4	4	3	3	3	3	2	2	3	4	4	-3	4	3	3	2	2	3	2	2	3	2	3	3	2	2	1	3	2	2	2	2	2	3	4	4	4	-3	2	2	1	1	2	2	3	-3	4	3	3	5	4	3	2	2	3	4	3	4	3	2	1	2	2	1	3	8		1	68	1	2	7	1	1	2	2	3	4	-3	1	2	2	-3	4	2	3	1	1	2	2	2	1	2	1	2	2	-3	2	-3	-3	1	5	3	2	1	2	1	2	1	1	4	4	1	1	5	-3	-3	2	1	1	1	1	1	1	5	3	1	2	1	3	-3	3	3	3	1	1	5	2	5	1	5	-3	4	9	2	2	2	8	2	2	3	2	-5	3	3	1	2	2	-5	2	-5	1	1	1	4	-3	4	3	1	2	2	1	1	4	10	22	4	2		153	23	12	12	2	7	1	3	1	3	2	1	1	-5	3	3	2	1	5	0.48	4	10	1	2	2	2	2	4205002	3	2	1959	1911	4	2	1	2	6		1	68	2	65																					2	2	3	1	4	8	4	6	2	11	10	5	13	12	7	1	14	16	9	3	15	2	2	10	0	2	1	2	3	4	3	2	1	1	3	5	6	6	-3	6	5	6	7	7	6	7	8	7	2	-3	3	3	2	-3	-3	3	2	2	3	2	2	1	3	3	1	4	4	1	77202	1229
538	538	1	1	1	6	0	2	1	4	5	2	1	1	2	3	1	2	2	3	2	2	4	2	5	2	1	2	-3	-3	2	2	1	-3	1	1	1	1	2	2	2	2	2	2	2	2	2	3	3	2	2	2	2	3	2	4	2	5	2	3	1	-3	-3	1	1	-3	1	4	2	4	3	2	2	2	2	-3	5	2	2	5	2	1	5	2	1	4	6		2	52	1	1	2	4	4	2	1	3	2	2	1	1	1	1	4	2	3	1	1	1	1	1	3	3	-3	3	3	3	-3	-3	3	1	5	5	1	1	1	1	1	1	1	1	1	4	-5	1	2	2	1	3	-5	1	1	1	4	4	3	1	1	1	3	3	-3	1	3	1	1	5	5	1	1	5	4	-3	16	5	1	3	1	3	-5	3	2	-5	2	-5	1	1	2	-5	1	1	1	1	1	1	1	1	2	1	2	2	2	1	4	10	22	4	2		153	23	12	12	2	7	3	1	3	3	2	1	1	-5	3	-3	2	1	5	0.41	3	10	1	2	1	1	2	4205002	3	2	1437	1356	3	1	1	1	6		1	54	2	52																					3	2	3	1	4	4	16	5	11	14	15	2	13	9	1	8	3	7	6	10	12	4	2	0	0	2	3	2	2	4	2	2	1	1	4	1	-3	-3	-3	-3	1	5	5	-3	5	2	10	5	3	4	3	-3	-3	3	3	3	3	3	3	3	3	2	3	3	1	1	1	1	0	0
539	539	1	1	1	8	0	2	4	1	1	3	3	3	1	1	4	-3	4	4	2	3	2	-3	2	3	3	2	-3	4	2	3	2	-3	-3	1	2	2	3	2	2	3	2	3	2	1	2	2	2	2	2	2	2	2	2	3	2	-3	3	2	2	-3	-3	2	3	-3	1	-6	3	5	-3	-3	3	5	-6	2	4	2	-3	3	2	1	1	2	1	4	5		2	63	4	2	7	2	1	-3	2	2	2	2	3	2	3	2	4	2	3	2	-3	1	1	2	1	2	1	2	-3	-3	3	3	2	2	3	4	2	2	2	1	2	1	1	1	1	5	-5	8	3	3	2	1	-3	1	1	1	1	4	3	1	3	3	1	1	3	3	3	2	1	5	1	5	1	2	2	-3	-2	4	2	3	1	1	3	2	2	-5	2	-5	1	2	-3	-5	2	-5	-3	-3	-3	-3	-3	-3	2	2	-3	2	2	1	4	10	22	4	2		153	23	12	12	2	7	3	-3	-3	3	7	1	1	-5	3	3	2	1	5	0.42	12	10	1	2	1	1	3	4205002	2	2	1047	1005	3	1	1	1	6				2	63																					2	3	3	1	3	5	16	3	7	9	14	6	13	11	4	1	12	2	10	8	15	2	2	4	0	2	3	2	-3	4	-3	2	1	1	3	6	7	5	-3	-3	5	7	4	6	6	4	6	5	2	4	3	2	2	-3	-3	3	2	2	2	2	3	2	3	3	4	2	4	2	37208	5133
540	540	1	1	1	10	15	3	3	1	3	3	4	2	1	1	4	2	4	5	4	2	4	4	5	2	2	1	2	1	4	2	2	2	-3	2	4	3	2	2	2	1	2	2	2	-3	2	1	5	2	2	1	2	1	1	5	5	5	1	3	-3	1	2	2	4	4	1	5	1	3	4	4	2	4	4	3	3	3	4	4	2	1	1	2	2	4	6		2	39	5	3	7	2	1	1	2	5	5	4	4	2	5	2	4	2	3	1	2	1	2	1	3	2	1	-3	2	3	3	-3	-3	2	2	3	3	1	1	1	2	1	1	1	1	5	-5	3	3	3	2	1	2	2	1	1	4	2	3	2	3	1	3	1	3	3	1	5	5	5	2	5	5	5	5	3	6	3	2	3	1	2	3	1	2	-5	1	2	1	2	2	-5	2	-5	1	1	1	1	1	1	3	2	4	2	2	2	4	10	22	4	2		153	23	12	12	2	7	1	3	1	3	7	1	1	-5	3	3	2	5	5	0.44	6	10	1	2	1	1	3	4205002	3	2	1516	1432	3	2	1	1	6				2	39																					2	3	3	2	4	5	12	9	6	11	16	13	15	4	1	7	8	10	3	2	14	1	2	5	0	1	2	1	3	4	4	1	1	4	1	7	6	6	5	7	6	7	8	7	6	6	6	6	2	3	3	3	2	2	2	3	2	2	3	2	2	3	2	2	2	2	2	2	31701	5220
541	541	1	1	1	24	1	2	5	4	2	4	4	2	4	4	1	3	4	4	4	4	2	3	2	2	3	2	2	2	2	3	-3	1	4	4	4	4	3	3	2	4	3	-6	4	2	2	1	3	2	2	1	2	1	3	3	4	4	3	2	3	3	3	1	2	4	2	3	3	3	3	3	3	2	4	2	4	2	4	4	1	-5	5	1	4	1	1		1	49	1	7	2	1	1	1	2	2	2	2	2	3	2	2	2	1	2	1	1	1	2	2	1	3	1	3	2	3	3	2	2	1	4	3	2	1	1	1	1	1	1	2	1	5	-5	3	2	2	2	1	5	2	2	2	5	5	2	2	2	1	3	1	3	1	3	5	5	2	5	5	5	2	5	2	17	1	1	3	8	1	1	1	2	-5	1	3	2	-5	1	2	1	1	1	1	1	1	1	1	2	2	2	1	1	4	4	11	18	4	2		193	20	10	10	2	99	1	1	3	-3	1	1	1	45	-3	3	1	2	2	0.41	12	10	1	2	2	2	4	4210002	5	3	1035	954	2	2	1	2	6		1	49	2	49											2	11									1	3	2	3	2	13	8	12	1	11	16	10	9	2	14	4	15	7	5	3	6	4	2	4	0	2	1	1	2	2	1	2	2	5	2	5	4	6	6	7	5	7	7	5	7	7	5	6	2	2	3	3	2	2	2	2	2	2	3	2	2	3	-3	2	1	3	4	4	75409	1317
542	542	1	1	1	18	99	3	1	1	5	4	1	3	3	1	1	2	5	4	2	4	4	2	2	4	2	4	3	2	4	2	2	4	4	2	2	4	3	2	3	3	3	4	3	2	2	2	2	1	2	2	2	1	3	4	4	4	3	2	2	1	2	2	2	3	3	3	2	2	3	3	1	4	2	2	2	1	4	4	2	1	1	1	4	1	8		1	63	4	3	5	2	1	1	2	1	4	2	2	2	2	3	1	3	1	2	2	2	2	2	1	2	2	2	2	-3	-3	3	3	2	2	3	2	1	1	1	2	1	1	3	3	3	3	3	3	2	2	1	-3	2	2	1	3	5	2	2	2	1	-3	3	3	3	3	5	4	2	2	5	4	3	2	3	15	2	1	3	6	1	3	2	2	-5	2	-5	2	-5	3	2	2	-5	1	1	1	1	1	1	2	1	3	2	1	2	4	11	18	4	2		193	20	10	10	2	99	3	1	3	2	7	1	2	-5	3	3	3	4	2	0.57	17	10	1	3	2	3	2	4210002	3	3	1051	954	2	1	1	2	6		1	63																							2	2	3	2	2	13	9	10	8	6	16	11	7	3	15	4	1	12	5	2	14	4	4	4	5	2	2	2	3	2	2	2	1	2	3	7	3	5	6	7	6	7	8	6	6	6	7	7	2	3	3	3	2	-3	2	3	2	2	3	3	2	2	2	2	2	3	3	3	98601	1226
543	543	1	1	1	10	8	3	2	1	6	3	3	2	3	3	2	3	4	3	3	4	3	4	4	3	3	2	2	2	3	3	1	2	1	2	4	2	3	3	3	3	3	4	3	-3	2	3	5	2	1	1	2	1	2	3	3	3	2	1	3	3	1	1	4	3	3	3	2	2	2	2	2	2	3	3	4	2	4	3	1	-5	1	1	1	3	1		1	42	3	2	8	1	2	1	2	2	2	2	2	3	2	2	4	2	1	2	1	1	1	2	1	2	2	2	2	3	3	3	2	2	4	3	1	1	1	1	1	2	1	1	1	4	-5	3	2	2	2	1	2	2	2	2	4	2	3	2	1	1	1	1	3	1	3	2	2	3	2	4	4	2	2	2	12	1	1	3	5	1	3	1	1	2	1	2	1	3	1	3	1	2	1	1	1	2	1	2	2	2	1	2	2	3	4	11	18	4	2		193	20	10	10	2	99	1	1	3	3	7	1	2	39	3	3	1	1	1	0.55	27	10	1	5	2	5	2	4210002	4	2	1950	1855	3	1	1	3	6		1	42																							3	3	3	2	3	7	8	11	1	3	16	13	15	12	2	5	14	9	10	4	6	2	4	0	1	2	2	1	3	2	1	1	1	2	3	4	5	6	8	8	6	7	6	6	6	6	6	5	2	1	3	2	2	2	2	3	2	2	2	2	2	2	3	2	2	3	2	2	46519	7231
