ARESPNR	RESPNR	HHNR	HHPNR	ISCO	V040	V041	V049	V103	V200	V201	V202	VAR000	VAR001	VAR002	VAR003	VAR006	VAR016	VAR019	VAR040	VAR046	VAR047	VAR048	VAR049	VAR050	VAR060	VAR061	VAR062	VAR064	VAR065	VAR092	VAR093	VAR096	VAR126	VAR131	VAR132	VAR133	VAR134	VAR135	VAR136	VAR149	VAR151	VAR153	VAR154	VAR154A	VAR155	VAR156	VAR157	VAR157A	VAR164	VAR165	VAR166	VAR167	VAR198	VAR201	VAR204	VAR205	VAR220	VAR222	VAR223	VAR228	VAR229	VAR239	VAR271	VAR272	VAR273	VAR274	VAR275	VAR318	VAR320	VAR347	VAR408	VAR409	VAR427	VAR428	VAR433	VAR461	VAR462	VAR491	VAR497	VAR499	VAR501	VAR502	VAR539	VAR540	VAR544	VAR546	VAR548	VAR550	VAR567	VAR568	VAR569	VAR570	VAR571	VAR572	VAR573	VAR574	VAR591	VAR599	VAR600	VAR624	VAR626	VAR627	VAR628	VAR629	VAR630	VAR631	VAR632A	VAR632B	VAR632C	VAR632E	VAR632F	VAR632G	VAR683B	VAR684	VAR699A	VAR699B	VAR699C	VAR699D	VAR699E	VAR699F	VAR700A	VAR700B	VAR700C	VAR700D	VAR700E	VAR723	VAR725	VAR728B	VAR729B	VAR76301	VAR76302	VAR76303	VAR76304	VAR76305	VAR76306	VAR76307	VAR76308	VAR76309	VAR76310	VAR76311	VAR76312	VAR76313	VAR76314	VAR76315	VAR76316	VAR76317	VAR76318	VAR76319	VAR76320	VAR76321	VAR76322	VAR76323	VAR76324	VAR76325	VAR76326	VAR76401	VAR76402	VAR76403	VAR76404	VAR76405	VAR76406	VAR76407	VAR76408	VAR76409	VAR76410	VAR76411	VAR76412	VAR76413	VAR76414	VAR76415	VAR76416	VAR76417	VAR76418	VAR76419	VAR76420	VAR76421	VAR76422	VAR76423	VAR76424	VAR76425	VAR76426	VAR76501	VAR76502	VAR76503	VAR76504	VAR76505	VAR76506	VAR76507	VAR76508	VAR76509	VAR76510	VAR76511	VAR76512	VAR76513	VAR76514	VAR76515	VAR76516	VAR76517	VAR76518	VAR76519	VAR76520	VAR76521	VAR76522	VAR76523	VAR76524	VAR76525	VAR76526	VAR76527	VAR76528	VAR76529	VAR76701	VAR76702	VAR76703	VAR76704	VAR76705	VAR76706	VAR76707	VAR76708	VAR76709	VAR76710	VAR76711	VAR76712	VAR76713	VAR76714	VAR76715	VAR76716	VAR76717	VAR76718	VAR76719	VAR76722	VAR76723	VAR76724	VAR76725	VAR76726	VAR76727	VAR76728	VAR806	VAR807	VAR895	VAR896	VAR900A	VAR900B	VAR900C	VAR900D	VAR900E	VAR900F	VAR900G	VAR900H	VAR900K	VAR900L	VAR900M	VAR900N	VAR900O	VAR901	VAR902	VAR903	VAR904	VAR905	VAR906	VAR907	VAR908	VAR909	VAR910	VAR911	VAR912	VAR913	VAR914	VAR915	VAR916	VAR917	VAR918	VAR919	VAR920	VAR921	VAR922	VAR923	VAR924	VAR925	VAR926	VAR927	VAR928	VAR929	VAR930A	VAR930B	VAR930C	VAR930D	VAR931	VAR956	VAR957	VAR958	VAR959	VAR963	VAR964	VAR965	VAR966	VAR967	VAR968	VAR969	VAR1046A	VAR1046B	VAR1046C	VAR1046D	VAR1046E	VAR1046F	VAR1046G	VAR1046H	VAR1046I	VAR1046J	VAR1046K	VAR1046L	VAR1046M	VAR1046N	VAR1046O	VAR1046P	VAR1061	VAR1062	VAR1113	VAR1114	VAR1115	VAR1116	VAR1145A	VAR1145B	VAR1145C	VAR1145D	VAR1145E	VAR1145F	VAR1145G	VAR1145H	VAR1145I	VAR1145J	VAR1145K	VAR1145L	VAR1146	VAR1162A	VAR1162B	VAR1162C	VAR1162D	VAR1162E	VAR1162F	VAR1162G	VAR1162H	VAR1162I	VAR1162J	VAR1162K	VAR1162L	VAR1163	VAR1204	VAR1205	VAR1206	VAR1207	VAR1208	VAR1209	VAR1210	VAR1211	VAR3000	INT000	INT001	INT004	INT071	INT077	INT087	INT168	INT205	INT206	INT209	INT210	INT211	INT214	INT215	INT216	INT217	INT218	INT219	INT221	INT222	INT223	INT225	INT227	INT228	INT229	INT231	INT232	INT234	INT235	INT236	INT237	INT238	INT239	INT240	INT241	INT243	INT244	INT247	INT248	INT249	INT250	INT251	INT252	INT253	INT254	INT255	INT256	INT257	INT265	INT266	INT283	INT284	INT285	INT370	INT371	INT501	INT502	INT503	INT504	INT505	INT506	INT507	INT508	INT509	INT510	INT511	INT512	INT513	INT514	INT515	INT516	INT517	INT518	INT519	INT520
"00815"	815	815	1	8334	1	-5	1	1	1	3	1	1	1	48	5	2	8	1	1	1	1	1	2	1	1	-3	1	1	-3	3	1	1	1	1	2	1	-3	1	-3	3	1	-3	2	-3	2	-3	-3	2	3	4	2	1	2	1	4	2	-5	3	1	2	3	2	1	4	3	3	-5	2	2	4	3	2	4	2	2	3	7	3	3	8	1	3	2	4	2	4	1	2	2	-5	3	3	2	-5	3	-3	3	2	2	1	5	48	76	12	6	8	885	120	37	55	5	99	2	8	4	4	5	4	2	3	2	1	1	1	2	40	4	-3	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	1	1	1.06	5	10	1	3	1	2	4	2	1	1914	1808	2	1	3	3	3	-7	1	48																			2	39			1	-5	-5	4	5	3	1	1	5	1	3	2	1	1	2	3	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	0	0	3	3	3	2	7	8	8	7	8	9	9	9	8	7	8	6	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	3	1	3	1	3	2	28211	1	13	25	3	1	1	1	1	2	3	1	1	-3	-3	3	2	1	3	3	4	5	3	3	-3	1	-3	1	2	3	4	-3	1	3	4	5	-3	-6	-3	1	1	1	1	8	8	8	8	-3	-3	3	2	3	4	3	1	1	3	4	1	2	2	3	4	1	2	3	4	-3	-3	-3	1	1	2	3	-3	-3
"00820"	820	820	1	3460	1	-5	2	1	3	2	1	1	1	42	3	5	6	1	2	1	1	3	3	2	3	1	2	1	-3	3	1	2	3	1	1	1	1	1	2	1	2	1	3	2	2	2	2	3	2	3	3	3	2	2	5	2	1	3	1	2	3	2	3	3	2	1	25	2	1	4	2	1	2	2	3	2	15	2	3	1	1	3	1	3	1	2	2	-5	3	2	2	-5	2	-5	2	-5	3	2	2	3	5	48	76	12	5	9	923	120	37	55	4	99	3	4	2	2	1	4	1	5	1	1	1	2	2	36	1	3	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	1	1	1.03	1	10	1	4	2	3	2	3	3	2007	1904	1	2	1	3	6	-7	1	42	2	37																					1	1	-5	-5	13	-3	5	5	5	1	1	3	5	2	2	2	7	15	5	1	3	16	11	10	4	6	13	14	12	9	2	8	1	0	2	3	2	2	7	7	7	7	7	6	6	8	7	8	7	6	2	2	3	2	2	2	3	2	2	2	2	3	2	2	2	2	3	3	3	3	2	4	56307	1	16	0	4	5	3	2	2	2	4	1	4	4	4	4	4	3	2	5	2	2	1	1	3	3	-3	2	4	4	4	3	5	4	5	5	1	2	2	1	1	1	1	8	6	9	4	4	3	4	1	2	2	2	1	2	3	2	5	5	1	1	3	1	1	1	3	2	3	2	1	3	3	4	4	5
"00821"	821	821	1	9211	1	-5	1	1	2	2	1	1	2	45	1	3	6	2	3	1	1	2	3	2	2	1	1	2	2	4	-3	1	1	1	2	2	1	2	3	2	3	1	3	2	3	2	-3	3	1	5	3	2	2	1	4	2	-5	3	1	2	3	1	-3	-3	1	1	29	1	1	2	3	2	4	2	1	3	-3	3	3	1	1	3	1	4	2	3	1	2	1	2	1	2	2	-5	1	1	1	2	2	4	5	48	76	12	5	9	923	120	37	55	4	99	2	1	1	1	4	1	4	1	1	1	1	1	-3	25	4	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	2	2	0.56	23	9	1	4	2	4	2	3	3	2150	2054	4	1	3	3	2	-7	1	48	2	45	2	18																			1	1	1	-5	11	3	2	1	3	2	2	1	2	4	4	-3	11	10	13	12	9	16	7	14	6	8	5	4	2	3	1	15	1	5	3	3	3	3	6	6	6	7	7	7	8	8	7	7	6	6	2	3	-3	3	2	2	2	2	2	2	2	3	3	2	2	2	1	1	3	1	2	3	11101	1	10	0	2	3	5	1	2	1	4	1	4	4	4	2	3	3	2	-3	3	3	1	1	-3	2	-3	4	4	4	4	3	4	2	4	4	3	2	2	1	1	1	1	8	8	8	1	1	4	4	2	2	4	4	2	1	-3	2	5	2	2	-3	3	1	1	1	4	2	3	2	1	4	2	2	3	5
"00822"	822	822	1	5133	1	-5	1	1	5	2	1	1	2	48	5	2	7	1	1	1	1	3	3	2	4	1	3	2	-3	4	3	1	2	1	1	1	1	1	2	3	3	2	3	3	3	3	-3	3	1	5	5	2	2	1	5	1	-5	1	3	2	3	1	1	1	1	1	29	1	1	4	1	1	3	3	1	1	9	2	3	1	1	5	2	2	2	1	2	-5	2	-5	1	2	2	-5	1	1	1	1	1	2	5	48	76	12	5	9	923	120	37	55	4	99	3	7	2	1	1	2	4	4	1	1	2	2	2	30	2	3	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	2	1	1.08	24	9	1	5	2	5	1	4	3	2020	1912	3	2	1	3	6	-7			2	48																					-5	1	-5	-5	6	5	1	5	5	2	1	5	3	2	2	2	14	5	12	3	15	16	7	9	13	10	1	8	11	4	2	6	2	0	1	1	1	2	5	6	4	5	7	2	2	6	5	3	5	5	3	3	1	1	3	2	3	3	3	3	3	3	3	3	3	3	1	1	1	1	1	4	37208	1	14	0	5	5	1	1	2	1	4	3	4	4	4	4	3	4	4	5	3	3	3	4	2	3	2	1	4	4	3	2	4	5	5	5	1	2	1	1	1	1	-6	8	8	8	1	1	3	4	2	1	4	2	1	2	3	2	4	2	2	2	4	1	1	1	4	2	3	1	6	2	2	2	3	3
"00827"	827	827	1	0	1	1	1	1	2	2	5	1	2	38	1	4	6	1	2	1	1	3	2	2	3	1	3	2	2	4	2	2	2	1	1	1	1	2	3	1	3	1	2	2	2	3	3	1	1	5	5	2	2	2	3	2	1	3	1	2	3	2	3	3	2	1	8	1	1	4	3	1	3	2	2	3	13	3	3	8	3	3	2	4	1	1	1	2	2	-5	2	-5	2	-5	2	-5	2	2	2	3	5	49	78	12	4	3	968	124	39	57	3	14	3	1	1	1	1	1	1	5	2	2	2	2	2	12	2	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	2	1	1	1.29	30	10	1	5	2	3	2	5	3	1258	1129	4	1	1	3	6	-7	1	42	2	38	2	5	2	3																	1	1	4	-5	11	4	2	4	3	2	4	2	4	2	4	3	8	6	13	12	7	14	2	16	3	5	1	10	9	11	4	15	3	5	3	3	3	3	3	7	7	6	6	4	6	6	7	5	6	9	2	3	1	1	3	3	3	2	2	1	2	2	1	2	2	2	2	1	3	2	1	3	0	1	15	2	2	5	4	2	2	2	4	2	4	4	4	3	3	3	3	3	2	3	2	2	3	4	4	3	3	3	2	3	3	5	5	5	2	2	2	1	1	1	1	4	7	7	4	2	3	2	1	4	5	3	2	5	3	2	4	4	2	3	4	1	4	1	3	2	3	2	1	3	3	2	3	2
"00829"	829	829	1	3412	2	1	5	5	1	2	8	1	1	67	4	2	2	1	1	-5	-5	-5	-5	-5	2	1	2	2	2	3	1	3	3	2	2	2	1	2	-5	1	2	1	3	3	-3	2	3	3	1	4	3	3	2	2	1	1	2	3	1	2	3	1	3	3	3	1	6	1	1	5	2	2	3	3	2	3	15	1	3	1	1	3	1	4	1	1	2	-5	1	3	2	-5	3	2	1	2	3	2	1	4	5	47	75	12	4	4	988	123	38	56	3	99	2	7	2	2	2	2	2	4	1	1	1	1	2	-5	-5	3	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-5	-5	3	2	0.52	28	10	1	2	1	1	1	3	3	1824	1732	3	1	1	1	6	-7	1	67																							1	-5	-5	-5	13	4	2	2	5	2	-3	2	2	4	2	2	2	15	8	10	9	16	12	6	7	1	13	4	3	11	5	14	0	0	3	3	3	2	5	3	8	9	8	6	7	7	7	8	6	7	2	3	3	2	2	2	3	3	2	2	2	3	2	2	2	2	1	1	3	4	2	4	51610	1	13	0	-3	2	1	1	2	1	4	2	-3	4	-6	2	3	3	2	2	3	1	3	2	3	6	4	2	1	-3	-3	4	2	2	2	4	1	4	2	1	1	1	1	7	7	8	7	3	3	4	2	2	2	2	-6	2	3	3	3	2	4	3	2	1	1	3	1	2	3	2	1	3	3	-3	-3	3
"00830"	830	830	1	7346	2	1	1	10	1	3	8	1	1	72	1	2	8	1	1	-5	-5	-5	-5	-5	4	1	3	1	1	4	3	2	3	2	2	1	2	1	-5	1	2	1	2	2	-3	-3	3	3	1	4	4	2	2	2	1	1	1	2	1	2	3	2	3	3	3	1	1	2	1	4	1	1	1	3	4	2	16	1	1	1	1	3	1	4	1	2	2	-5	-3	-5	2	-5	2	-5	2	-5	3	1	1	2	5	47	75	12	4	4	988	123	38	56	3	99	2	1	4	4	4	4	4	4	1	1	1	1	2	-5	-5	1	-3	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-5	-5	2	2	0.36	29	10	1	-6	-6	-6	2	3	3	1851	1815	1	2	3	1	1	-7	1	72	2	69	1	38																			1	1	1	-5	15	5	2	3	1	2	4	2	2	4	4	4	1	10	9	2	6	16	12	15	11	5	14	7	4	13	3	8	20	0	1	1	1	1	7	6	4	6	7	5	8	7	6	7	5	7	2	2	2	1	2	2	3	2	2	3	2	-3	2	2	2	3	3	2	4	3	2	4	46808	1	10	12	2	4	5	1	1	1	4	2	3	4	4	4	4	2	4	3	3	3	1	2	-3	6	4	1	-3	-3	-3	2	-3	4	2	4	1	5	1	1	1	1	1	9	8	9	7	7	2	1	4	1	1	1	2	2	3	2	4	2	2	3	4	2	4	4	4	2	3	2	1	-3	-3	-3	-3	4
"00831"	831	831	1	5133	2	1	1	5	1	2	8	1	2	78	4	2	6	1	1	-5	-5	-5	-5	-5	4	1	3	1	1	4	3	2	4	2	1	2	1	2	-5	1	2	1	1	-3	2	-3	2	3	2	3	4	2	2	2	2	1	1	2	3	1	3	1	2	2	2	1	25	2	1	4	2	1	1	3	2	2	16	1	3	1	2	3	3	4	3	1	2	-5	2	-5	2	-5	2	-5	2	-5	3	2	2	2	5	47	75	12	4	4	988	123	38	56	3	99	2	6	2	2	2	4	2	4	1	1	1	1	2	-5	-5	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	-5	-5	3	2	0.46	28	10	1	3	2	4	1	4	3	1928	1842	3	1	1	1	6	-7			2	78	1	28																			-5	1	1	-5	14	3	2	4	4	1	2	4	2	2	5	1	10	11	3	4	14	16	13	15	8	6	7	1	5	2	9	12	0	0	1	1	1	1	6	7	7	7	6	7	6	6	5	7	-3	4	2	3	2	2	2	2	2	2	2	3	2	-3	3	2	2	2	1	2	3	3	1	2	49209	1	10	0	4	4	1	-3	1	1	4	1	4	3	2	2	3	2	2	4	4	4	2	4	1	3	2	2	4	4	3	3	5	4	4	5	1	1	1	1	1	1	7	8	8	8	10	1	3	4	3	2	2	2	2	1	3	2	3	3	1	1	1	1	1	1	1	1	3	1	1	4	4	4	3	2
"00832"	832	832	1	1314	1	-5	2	1	3	1	1	1	1	53	3	7	6	2	1	1	1	3	3	2	3	1	1	2	1	2	3	2	3	2	2	2	1	2	3	3	3	1	-3	2	3	2	-3	2	2	3	3	1	2	1	5	1	-5	1	1	2	8	2	2	3	2	3	-5	1	1	2	2	1	3	3	2	2	13	4	3	1	1	-3	1	1	2	1	2	-5	2	-5	1	1	1	2	1	1	2	2	2	3	5	47	75	12	4	4	988	123	38	56	3	99	3	7	2	2	2	2	2	2	1	1	2	2	2	32	1	3	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	1	1	1.02	23	10	1	2	2	4	1	3	3	1921	1819	2	2	1	1	6	-7	1	53																							1	-5	-5	-5	10	4	2	2	4	4	4	4	5	2	3	3	15	4	13	2	11	16	5	9	12	14	3	1	10	7	6	8	0	2	1	1	1	1	4	4	8	7	7	7	5	-3	4	-3	7	4	2	3	3	2	2	2	2	3	-3	3	-3	2	3	3	2	3	3	2	3	2	1	3	71611	1	23	5	4	5	1	2	1	3	4	3	4	4	1	3	4	3	3	5	2	3	1	1	3	3	1	2	4	4	4	3	5	5	5	5	1	1	2	-6	-6	-6	-6	8	6	9	1	1	6	4	2	2	3	2	1	1	4	1	5	5	1	1	3	1	4	1	1	1	3	2	-6	4	4	4	4	5
"00833"	833	833	1	-5	2	2	-5	6	5	4	5	1	2	50	3	1	-5	1	4	-5	-5	-5	-5	-5	3	-3	2	1	2	4	1	3	2	1	2	1	1	1	3	2	2	1	2	2	2	2	-3	-3	2	3	3	-3	6	6	1	1	2	2	3	1	3	2	3	3	3	2	-3	2	2	5	3	2	3	2	2	3	-3	4	3	1	2	3	4	4	3	1	1	1	2	-5	2	-5	3	3	2	-5	3	2	2	2	5	47	75	12	4	4	988	123	38	56	3	99	3	6	2	2	2	4	2	4	1	1	-3	2	2	-5	-5	3	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-5	-5	3	3	1.37	27	10	1	5	2	5	1	2	3	2016	1839	3	1	3	1	1	-7			2	50	1	22	1	21	1	20	2	18	2	13											-5	1	3	-5	15	4	2	2	-3	3	2	5	3	2	3	1	8	6	9	3	13	2	7	11	10	5	12	16	4	1	15	14	0	0	3	3	2	2	7	7	7	7	-3	7	7	7	6	7	-3	7	2	2	2	2	2	2	2	2	2	2	2	-3	2	2	2	2	-3	-3	4	-3	-3	3	-5	1	7	-5	2	1	1	1	1	2	1	1	1	4	2	1	-3	-3	-3	-3	-3	-3	-3	-3	-3	5	4	4	2	2	-3	4	1	2	3	5	4	2	1	4	4	4	4	8	9	8	11	8	2	3	4	3	4	3	5	-3	4	1	-3	-3	-3	-3	-3	1	1	1	1	2	3	1	4	-3	-3	-3	-3	-3
"00834"	834	834	1	8282	2	1	1	5	1	4	8	1	2	67	4	1	9	1	4	-5	-5	-5	-5	-5	-3	1	2	2	2	-3	2	2	3	1	2	2	2	2	-5	3	3	2	3	-3	-3	-3	3	3	1	5	4	3	2	2	5	2	2	2	3	1	8	2	3	3	3	1	-3	1	-3	4	3	3	4	2	4	3	7	5	3	1	1	5	4	4	-3	1	2	-5	-3	-5	1	3	-3	-5	1	2	3	2	2	4	5	47	75	12	4	4	988	123	38	56	3	99	-3	7	2	2	2	4	2	4	2	2	2	2	2	-5	-5	-3	-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-5	-5	3	3	0.32	24	10	1	1	2	2	1	4	3	1553	1521	4	2	1	1	6	-7			2	67																					-5	1	-5	-5	5	5	5	5	1	5	1	2	5	1	2	2	9	12	7	1	6	13	14	4	15	8	2	16	5	11	3	10	0	0	3	3	1	3	8	4	4	3	-3	8	7	9	5	8	8	7	3	3	1	2	2	-3	1	3	3	2	2	2	3	3	3	3	3	2	3	3	3	2	11118	1	6	0	4	2	1	4	2	2	1	1	1	1	1	4	4	5	5	5	3	5	4	4	4	6	4	4	4	4	2	3	2	2	1	4	1	4	2	1	1	1	7	8	8	8	10	1	2	-3	-5	5	5	5	4	4	2	3	2	2	2	2	4	1	1	1	1	1	3	2	1	2	4	4	2	4
"00835"	835	835	1	4132	1	-5	2	-2	1	2	1	1	1	37	5	2	7	2	1	1	1	2	1	2	4	1	3	2	1	4	2	2	1	2	2	1	2	1	3	1	3	1	3	2	3	3	3	3	1	4	3	3	2	2	4	1	2	2	3	1	2	2	2	4	1	1	6	2	2	4	2	1	1	3	2	4	-2	2	3	1	4	1	1	4	3	3	2	-5	3	3	2	-5	3	3	2	-5	2	1	1	1	5	47	75	12	5	9	946	123	38	56	5	99	2	7	2	4	4	5	4	5	1	1	1	1	2	18	2	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	1	1	0.54	9	10	1	3	2	3	1	4	3	1810	1716	2	1	1	1	6	-7	1	37																							1	-5	-5	-5	-2	3	2	2	2	2	2	5	5	1	2	2	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	0	1	2	2	1	1	6	6	6	6	6	3	5	6	6	6	5	4	2	3	2	2	2	2	3	3	3	3	3	3	1	2	2	2	2	2	2	2	2	3	71303	1	18	5	5	3	5	2	2	2	4	1	2	4	2	2	3	3	3	3	3	3	3	3	5	6	4	2	2	-3	1	2	3	5	4	5	1	2	2	1	1	1	1	7	7	7	10	4	2	1	4	2	2	2	1	1	3	2	2	3	2	3	5	1	4	2	4	2	2	3	1	2	2	2	2	3
"00836"	836	836	1	7131	1	-5	1	1	1	3	1	1	1	39	1	2	8	1	3	1	1	3	3	2	1	1	1	2	2	4	1	1	3	2	2	2	2	1	3	1	2	2	3	2	3	2	-3	3	2	3	3	3	2	1	5	2	-5	3	1	2	2	2	2	3	2	1	1	2	2	2	2	1	1	3	2	3	14	3	3	1	1	3	4	4	1	1	2	-5	2	-5	2	-5	3	1	1	-3	3	2	2	1	5	47	75	12	5	9	946	123	38	56	5	99	2	1	4	2	4	2	4	4	1	1	2	2	2	38	1	3	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	1	1	0.55	10	10	1	2	2	2	2	3	3	1431	1336	4	2	1	1	6	-7	1	39	2	38	1	8	2	5																	1	1	4	-5	13	5	3	5	5	2	2	4	4	2	4	4	4	10	13	7	14	15	12	1	6	5	3	9	11	16	8	2	0	0	2	3	3	2	3	6	6	7	7	5	4	7	5	7	-3	8	2	3	2	2	2	2	2	3	2	3	2	-3	2	2	2	2	3	2	4	2	3	4	26219	1	10	0	2	4	5	2	1	3	3	1	4	3	1	3	4	2	2	-3	3	2	2	2	-3	1	1	-3	3	3	3	4	4	4	4	4	2	3	2	1	1	1	1	7	7	5	1	1	6	1	4	2	2	2	2	4	4	2	3	-3	1	1	4	1	2	1	2	1	3	2	6	-3	3	-3	-3	5
